Module,Status,Risk,Reason,Action
portfolio/sharpe_ratio.py,Keep,Low,"Simple focused metric helper.","Retain."
portfolio/sortino_ratio.py,Keep,Low,"Simple focused metric helper.","Retain."
scanners/__init__.py,Keep,Low,"Package marker; no issue found.","Retain."
scanners/breakout_scanner.py,Keep,Medium,"Usable scanner with richer logic.","Retain."
scanners/momentum_scanner.py,Keep,Medium,"Usable scanner with richer logic.","Retain."
scanners/swing_scanner.py,Keep,Medium,"Usable scanner with richer logic.","Retain."
scanners/value_scanner.py,Keep,Medium,"Useful value-oriented scanner.","Retain."
scanners/premium_scanners.py,Keep,Low,"Additive scanner aggregation layer.","Retain."
intelligence/__init__.py,Keep,Low,"Package marker; no issue found.","Retain."
intelligence/block_deals.py,Improve,Low,"Very simple heuristic; works but limited depth.","Improve logic if higher fidelity is needed."
intelligence/fii_dii.py,Improve,Low,"Helpful but only as good as supplied data.","Improve data handling if used more heavily."
intelligence/insider_trading.py,Improve,Low,"Simple rule-based logic; not broken but basic.","Improve if stronger modeling is needed."
intelligence/promoter_pledge.py,Improve,Low,"Simple heuristic; acceptable but limited.","Improve if decision-grade output is required."
intelligence/premium_news.py,Keep,Medium,"Useful premium news wrapper with graceful fallback.","Retain."
intelligence/news_sentiment.py,Broken,High,"File is empty and provides no usable functionality.","Implement properly or remove."
options/__init__.py,Keep,Low,"Package marker; no issue found.","Retain."
options/options_strategy_builder.py,Keep,Low,"Simple useful options helper.","Retain."
premium/__init__.py,Keep,Low,"Package marker for premium extension area.","Retain."
tests/conftest.py,Keep,Low,"Shared fixtures and test helpers are useful.","Retain."
tests/test_data_fetcher.py,Keep,Low,"Important reliability coverage for fetch/cache behavior.","Retain."
tests/test_validation.py,Keep,Low,"Good coverage for validation and symbol normalization.","Retain."
tests/test_moving_averages.py,Keep,Low,"Covers core indicator math.","Retain."
tests/test_momentum.py,Keep,Low,"Covers momentum indicator behavior.","Retain."
tests/test_volatility.py,Keep,Low,"Covers volatility module outputs.","Retain."
tests/test_breakout.py,Keep,Low,"Covers breakout logic and bounds.","Retain."
tests/test_support_resistance.py,Keep,Low,"Covers S/R outputs.","Retain."
tests/test_trend_detection.py,Keep,Low,"Covers trend logic and MultiIndex safety.","Retain."
tests/test_scoring.py,Keep,Low,"Covers score ranges and bullish vs bearish behavior.","Retain."
tests/test_fundamentals.py,Keep,Low,"Covers fundamentals and portfolio helpers.","Retain."
tests/test_error_handling.py,Keep,Low,"Covers graceful failure cases.","Retain."
tests/test_integration_pipeline.py,Keep,Low,"Covers major analysis pipeline integration.","Retain."
tests/test_cli_flow.py,Keep,Low,"Covers main CLI resilience and no-traceback flows.","Retain."
tests/test_regression.py,Keep,Low,"Covers likely break-prone regressions.","Retain."
pytest.ini,Keep,Low,"Required pytest configuration file.","Retain."
requirements-dev.txt,Keep,Low,"Minimal dev dependency file for test setup.","Retain."
